country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
us,United States,USD,AAJ-AA-1,"Administrative Appeals Judge, AA-1 — entry AAJ rate.",1,131700,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,AAJ-AA-2,"Administrative Appeals Judge, AA-2.",1,141700,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,AAJ-AA-3,"Administrative Appeals Judge, AA-3.",1,151900,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,AAJ-AA-4,"Administrative Appeals Judge, AA-4.",1,162200,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,AAJ-AA-5,"Administrative Appeals Judge, AA-5.",1,172500,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,AAJ-AA-6,"Administrative Appeals Judge, AA-6 — top AAJ rate.",1,182400,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-1,"Administrative Law Judge, AL-1 — senior judges supervising ALJs at their agency.",1,197200,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-2,"Administrative Law Judge, AL-2 — deputy chief ALJs and certain senior field ALJs.",1,192400,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-3,"Administrative Law Judge, AL-3 — standard ALJ grade with 6 sub-rates (A=entry through F=top) earned through length of service.",1,131700,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-3,"Administrative Law Judge, AL-3 — standard ALJ grade with 6 sub-rates (A=entry through F=top) earned through length of service.",2,141700,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-3,"Administrative Law Judge, AL-3 — standard ALJ grade with 6 sub-rates (A=entry through F=top) earned through length of service.",3,151900,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-3,"Administrative Law Judge, AL-3 — standard ALJ grade with 6 sub-rates (A=entry through F=top) earned through length of service.",4,162200,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-3,"Administrative Law Judge, AL-3 — standard ALJ grade with 6 sub-rates (A=entry through F=top) earned through length of service.",5,172500,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,ALJ-AL-3,"Administrative Law Judge, AL-3 — standard ALJ grade with 6 sub-rates (A=entry through F=top) earned through length of service.",6,182400,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,BCA-CHAIRMAN,Chairman of a federal Board of Contract Appeals — pay set at EX-IV per 41 U.S.C. 7101.,1,197200,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,BCA-OTHER-MEMBERS,Other Members of a federal Board of Contract Appeals.,1,185368,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,BCA-VICE-CHAIRMAN,Vice Chairman of a federal Board of Contract Appeals.,1,191284,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,CONG-HOUSE-LEADER,House Majority / Minority Leader (2 U.S.C. 4501).,1,193400,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,CONG-PPT,President Pro Tempore of the Senate (2 U.S.C. 4501).,1,193400,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,CONG-REP,"Member of the House of Representatives — base salary frozen at $174,000 since 2009.",1,174000,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,CONG-SEN,"United States Senator — base salary frozen at $174,000 since 2009 due to annual cost-of-living adjustment suspensions.",1,174000,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,CONG-SEN-LEADER,Senate Majority / Minority Leader (2 U.S.C. 4501).,1,193400,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,CONG-SPEAKER,Speaker of the House (2 U.S.C. 4501).,1,223500,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,CONG-VP,Vice President of the United States (3 U.S.C. 104). Annual salary set by EO.,1,292300,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,EX-I,Executive Schedule Level I (5 U.S.C. 5312) — Cabinet Secretaries and Vice-Presidential equivalents.,1,253100,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,EX-II,"Executive Schedule Level II (5 U.S.C. 5313) — Deputy Secretaries, heads of major independent agencies.",1,228000,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,EX-III,Executive Schedule Level III (5 U.S.C. 5314) — Under Secretaries and equivalents.,1,209600,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,EX-IV,Executive Schedule Level IV (5 U.S.C. 5315) — Assistant Secretaries and equivalent deputy heads.,1,197200,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,EX-V,Executive Schedule Level V (5 U.S.C. 5316) — Administrators of directorates within departments.,1,184900,2026-05-15T04:01:07.102Z,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/salary-tables/xml/2026/EX.xml
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",1,126384,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",2,130176,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",3,134081,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",4,138103,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",5,142246,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",6,146514,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",7,150909,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",8,155436,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",9,160099,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",10,164301,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",11,164301,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",12,164301,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",13,164301,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-1,"Foreign Service Class 1 — most senior generalist and specialist officers (e.g., senior Foreign Service Officers, Ambassador-rank below Chief of Mission). Caps at EX-IV.",14,164301,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,1,102409,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,2,105481,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,3,108646,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,4,111905,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,5,115262,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,6,118720,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,7,122282,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,8,125950,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,9,129729,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,10,133621,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,11,137629,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,12,141758,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,13,146011,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-2,Foreign Service Class 2 — senior career officers; typical grade for Deputy Chiefs of Mission at smaller posts and section heads at major embassies.,14,150391,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,1,82982,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,2,85471,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,3,88036,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,4,90677,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,5,93397,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,6,96199,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,7,99085,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,8,102057,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,9,105119,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,10,108273,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,11,111521,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,12,114866,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,13,118312,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
us,United States,USD,FS-3,Foreign Service Class 3 — mid-senior career officers; unit chiefs and mid-career FSOs.,14,121862,2026-05-15T04:01:13.807Z,https://www.govinfo.gov/content/pkg/FR-2025-12-23/pdf/2025-23844.pdf
