country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
at,Austria,EUR,GOV-BR-MEMBER,"Bundesratsabgeordneter (Member of the Federal Council — part-time, 61 seats). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 50%.",1,69041,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-CHANCELLOR,Bundeskanzler (Federal Chancellor). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 240%.,1,331394,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-MINISTER,Bundesminister (Federal Minister / Cabinet member). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 200%.,1,276162,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-NR-MP,"Nationalratsabgeordneter (Member of the National Council, 183 seats). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 100%.",1,138081,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-NR-PRESIDENT,Präsident des Nationalrates (President of the National Council). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 210%.,1,289970,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-PRESIDENT,Bundespräsident (Federal President). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 280%.,1,386627,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-STATE-SEC,Staatssekretär (Secretary of State / Junior Minister). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 180%.,1,248546,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,GOV-VICE-CHANCELLOR,Vizekanzler (Vice Chancellor). Source: Bezügegesetz 1997 — Ausgangsbetrag €138 081/yr × 210%.,1,289970,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,JUD-LG-RICHTER,Richter am Landesgericht (Regional Court Judge — mid-career Gehaltsstufe 8). Source: RStDG § 66 Schema R1 Stufe 8.,1,120000,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,JUD-OGH-JUSTICE,Hofrat des Obersten Gerichtshofs (Supreme Court Justice — Gehaltsstufe 16). Source: RStDG § 66 Gehaltsschema R3 top Stufe + function allowance.,1,230000,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,JUD-OGH-PRESIDENT,Präsident des Obersten Gerichtshofs (President of the Supreme Court). Source: RStDG function allowance; pay parity with Vizekanzler.,1,289970,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,JUD-OLG-PRESIDENT,Präsident eines Oberlandesgerichts (President of a Higher Regional Court — 4 courts). Source: RStDG function allowance.,1,210000,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,JUD-RICHTER-ENTRY,Richteramtsanwärter / Richter Gehaltsstufe 1 (Judge-in-training / entry-level judge). Source: RStDG § 66 Schema R1 Stufe 1.,1,68000,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,JUD-VFGH-PRESIDENT,Präsident des Verfassungsgerichtshofs (President of the Constitutional Court) — pay parity with Bundespräsident. Source: Verfassungsgerichtshofgesetz §§ 5-7; pay parity with Bundespräsident (Ausgangsbetrag × 280%).,1,386627,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
at,Austria,EUR,PRO-GENPROK,Generalprokurator (Federal Prosecutor General). Source: RStDG + function allowance; pay parity with OGH President.,1,289970,2026-05-15T04:02:16.956Z,https://www.ris.bka.gv.at/
