country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
au,Australia,AUD,APS-1,APS Level 1 — entry-level administrative and service-delivery roles.,1,52000,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-1,APS Level 1 — entry-level administrative and service-delivery roles.,2,53463,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-1,APS Level 1 — entry-level administrative and service-delivery roles.,3,54606,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-1,APS Level 1 — entry-level administrative and service-delivery roles.,4,57396,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-1,APS Level 1 — entry-level administrative and service-delivery roles.,5,60308,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-2,APS Level 2 — basic administrative support and case-processing roles.,1,56774,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-2,APS Level 2 — basic administrative support and case-processing roles.,2,58477,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-2,APS Level 2 — basic administrative support and case-processing roles.,3,61749,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-2,APS Level 2 — basic administrative support and case-processing roles.,4,64557,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-2,APS Level 2 — basic administrative support and case-processing roles.,5,68436,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-3,APS Level 3 — intermediate administrative and program roles.,1,63740,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-3,APS Level 3 — intermediate administrative and program roles.,2,66324,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-3,APS Level 3 — intermediate administrative and program roles.,3,70009,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-3,APS Level 3 — intermediate administrative and program roles.,4,73904,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-3,APS Level 3 — intermediate administrative and program roles.,5,75824,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-4,APS Level 4 — senior administrative and policy-support roles.,1,71560,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-4,APS Level 4 — senior administrative and policy-support roles.,2,75938,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-4,APS Level 4 — senior administrative and policy-support roles.,3,79192,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-4,APS Level 4 — senior administrative and policy-support roles.,4,81884,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-4,APS Level 4 — senior administrative and policy-support roles.,5,84971,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-5,APS Level 5 — professional-level generalist and specialist roles.,1,80341,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-5,APS Level 5 — professional-level generalist and specialist roles.,2,86542,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-5,APS Level 5 — professional-level generalist and specialist roles.,3,88944,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-5,APS Level 5 — professional-level generalist and specialist roles.,4,89839,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-5,APS Level 5 — professional-level generalist and specialist roles.,5,92670,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-6,APS Level 6 — senior professional / team leader roles.,1,90199,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-6,APS Level 6 — senior professional / team leader roles.,2,98804,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-6,APS Level 6 — senior professional / team leader roles.,3,103770,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-6,APS Level 6 — senior professional / team leader roles.,4,105509,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APS-6,APS Level 6 — senior professional / team leader roles.,5,110020,2026-04-20T13:31:44.420Z,https://www.apsc.gov.au/sites/default/files/2025-07/2024%20Remuneration%20Data%20Tables%201-38%20%28Final%29.xlsx
au,Australia,AUD,APSC-APS1,APSC EA — APS Level 1 pay points (broadband 1): entry-level clerical roles.,1,52000,2026-04-22T22:42:54.911Z,https://www.apsc.gov.au/sites/default/files/2024-03/APSC%20Enterprise%20Agreement%202024-2027.pdf
au,Australia,AUD,APSC-APS1,APSC EA — APS Level 1 pay points (broadband 1): entry-level clerical roles.,2,57497,2026-04-22T22:42:54.911Z,https://www.apsc.gov.au/sites/default/files/2024-03/APSC%20Enterprise%20Agreement%202024-2027.pdf
au,Australia,AUD,APSC-APS1,APSC EA — APS Level 1 pay points (broadband 1): entry-level clerical roles.,3,59160,2026-04-22T22:42:54.911Z,https://www.apsc.gov.au/sites/default/files/2024-03/APSC%20Enterprise%20Agreement%202024-2027.pdf
au,Australia,AUD,APSC-APS1,APSC EA — APS Level 1 pay points (broadband 1): entry-level clerical roles.,4,60946,2026-04-22T22:42:54.911Z,https://www.apsc.gov.au/sites/default/files/2024-03/APSC%20Enterprise%20Agreement%202024-2027.pdf
au,Australia,AUD,APSC-APS2,APSC EA — APS Level 2 pay points: basic administrative support.,1,62775,2026-04-22T22:42:54.911Z,https://www.apsc.gov.au/sites/default/files/2024-03/APSC%20Enterprise%20Agreement%202024-2027.pdf
