country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
br,Brazil,BRL,C-ADMINISTRADOR,"ADMINISTRADOR — career-level aggregate across 4,736 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",2,134396,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADMINISTRADOR,"ADMINISTRADOR — career-level aggregate across 4,736 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",3,167268,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADMINISTRADOR,"ADMINISTRADOR — career-level aggregate across 4,736 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",4,191184,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADMINISTRADOR,"ADMINISTRADOR — career-level aggregate across 4,736 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",5,399290,2026-04-20T02:47:12.876Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADVOGADO-DA-UNIAO,"ADVOGADO DA UNIAO — career-level aggregate across 1,532 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",1,324575,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADVOGADO-DA-UNIAO,"ADVOGADO DA UNIAO — career-level aggregate across 1,532 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",2,421714,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADVOGADO-DA-UNIAO,"ADVOGADO DA UNIAO — career-level aggregate across 1,532 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",3,421714,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADVOGADO-DA-UNIAO,"ADVOGADO DA UNIAO — career-level aggregate across 1,532 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",4,421714,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-ADVOGADO-DA-UNIAO,"ADVOGADO DA UNIAO — career-level aggregate across 1,532 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",5,670684,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
br,Brazil,BRL,C-AGENTE-ADMINISTRATIVO,"AGENTE ADMINISTRATIVO — career-level aggregate across 9,961 federal employees (SIAPE, 202603). Monthly × 13 to include Gratificação Natalina.",2,68182,2026-05-07T16:28:58.089Z,https://portaldatransparencia.gov.br/servidores
