country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
ch,Switzerland,CHF,APPR-HS1,Praktikant/in mit laufendem Bachelor-Studium (intern during bachelor). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,34500,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-HS2,Praktikant/in mit Bachelor-Abschluss (intern with bachelor's degree). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,48240,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-HS3,Praktikant/in mit Master-/Lizentiats-Abschluss (intern with master's degree). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,54000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-L1,"Lernende EFZ/EBA — 1. Lehrjahr (apprentice, year 1). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).",1,10964,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-L2,Lernende EFZ/EBA — 2. Lehrjahr. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,13506,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-L3,Lernende EFZ/EBA — 3. Lehrjahr. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,20615,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-L4,Lernende EFZ/EBA — 4. Lehrjahr. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,24559,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-L5A,"Zweitlehre nach 3-jähriger Lehre (second apprenticeship, after 3-year completion). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).",1,23472,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-L5B,Zweitlehre nach 4-jähriger Lehre. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,28110,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PBGB,Handelsschule EFZ 2+1 (commercial-school apprentice). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,20615,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PHFK,Praktikum nach Art. 25 HFKG (Arbeitswelterfahrung). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,30792,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PHMS,Handelsmittelschule HMS 3+1. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,24559,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PIBS1,Praxisintegriertes Bachelorstudium — Jahr 1 (work-integrated bachelor). Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,26400,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PIBS2,Praxisintegriertes Bachelorstudium — Jahr 2. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,28800,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PIBS3,Praxisintegriertes Bachelorstudium — Jahr 3. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,33600,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,APPR-PIBS4,Praxisintegriertes Bachelorstudium — Jahr 4. Source: EPA Lohntabelle 2026 p.3 (Lernende und Praktikanten).,1,38400,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,GOV-BUNDESKANZLER,Bundeskanzler/in (Chancellor of the Confederation — head of administration). Source: SR 172.121; ~89% of Bundesrat salary.,1,422000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,GOV-BUNDESPRAESIDENT,"Bundespräsident/in (rotating annual office, includes Präsidialzulage of CHF 12,000). Source: SR 172.121 + Präsidialzulage CHF 12,000.",1,487000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,GOV-BUNDESRAT,Bundesrat (Federal Councillor / Cabinet Minister — 7 positions). Source: Bundesgesetz über Besoldung und berufliche Vorsorge der Magistratspersonen SR 172.121; Bruttojahresbezüge 2026.,1,475000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,GOV-NATIONALRAT,"Nationalratsabgeordnete/r (Member of the National Council, 200 seats — part-time). Source: Parlamentsressourcengesetz SR 171.21 — Grundeinkommen + Taggelder + Vorbereitungspauschale, typical annual.",1,132000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,GOV-NR-PRESIDENT,Nationalratspräsident/in (President of the National Council — rotating annual office). Source: Parlamentsressourcengesetz + Präsidiumszulage.,1,165000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,GOV-STAENDERAT,"Ständerat (Member of the Council of States, 46 seats — part-time). Source: Parlamentsressourcengesetz SR 171.21 — same base as Nationalrat.",1,132000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,JUD-BG-JUDGE,Bundesrichter/in (Federal Supreme Court Judge — 38 positions). Source: Richterverordnung SR 172.121.1; Art. 3 — Jahresbezüge 2026.,1,386000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,JUD-BG-PRESIDENT,Präsident/in des Bundesgerichts (President of Federal Supreme Court). Source: Richterverordnung SR 172.121.1 + Präsidialzulage.,1,404000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,JUD-BPG-JUDGE,Bundespatentgerichts Richter/in (Federal Patent Court Judge). Source: Richterverordnung SR 172.121.1.,1,365000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,JUD-BSTG-JUDGE,Bundesstrafrichter/in (Federal Criminal Court Judge). Source: Richterverordnung SR 172.121.1.,1,372000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,JUD-BVG-JUDGE,Bundesverwaltungsrichter/in (Federal Administrative Court Judge). Source: Richterverordnung SR 172.121.1 — 96% of Bundesrichter.,1,372000,2026-04-24T01:40:29.588Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK1,Lohnklasse 1 — entry-level support (Hilfsarbeiter / Praktikanten).,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK1,Lohnklasse 1 — entry-level support (Hilfsarbeiter / Praktikanten).,2,66517,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK10,Lohnklasse 10 — qualified administrative staff / technical support.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK10,Lohnklasse 10 — qualified administrative staff / technical support.,2,88507,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK11,Lohnklasse 11 — intermediate administrative / technical staff.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK11,Lohnklasse 11 — intermediate administrative / technical staff.,2,91831,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK12,Lohnklasse 12 — intermediate administrative / technical staff.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK12,Lohnklasse 12 — intermediate administrative / technical staff.,2,95237,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK13,Lohnklasse 13 — intermediate administrative / technical staff.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK13,Lohnklasse 13 — intermediate administrative / technical staff.,2,98703,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK14,Lohnklasse 14 — intermediate administrative / technical staff.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK14,Lohnklasse 14 — intermediate administrative / technical staff.,2,102265,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK15,Lohnklasse 15 — working-level caseworker / specialist (apprenticeship + experience).,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK15,Lohnklasse 15 — working-level caseworker / specialist (apprenticeship + experience).,2,106508,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK16,Lohnklasse 16 — working-level specialist / caseworker.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK16,Lohnklasse 16 — working-level specialist / caseworker.,2,110810,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK17,Lohnklasse 17 — working-level specialist / caseworker.,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK17,Lohnklasse 17 — working-level specialist / caseworker.,2,115425,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
ch,Switzerland,CHF,LK18,Lohnklasse 18 — experienced specialist / small-team lead (FH graduate entry).,1,46195,2026-04-24T19:59:18.014Z,https://www.epa.admin.ch/dam/epa/de/dokumente/themen/lohnsystem/Lohntabelle%202026.pdf.download.pdf/Lohntabelle%202026.pdf
