country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
es,Spain,EUR,ALTO-DIR-GENERAL,Director General — total annual (sueldo + complemento destino + específico).,1,59048,2026-05-15T04:03:47.079Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-MINISTRO,Ministro del Gobierno — Minister (cabinet member). Annual retribuciones fixed by Ley PGE.,1,79415,2026-05-15T04:03:48.844Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-PRES-CE,Presidente del Consejo de Estado — President of the Council of State (supreme consultative body). Annual retribuciones fixed by Ley PGE.,1,90383,2026-05-15T04:03:48.844Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-PRES-CES,Presidente del Consejo Económico y Social — President of the Economic and Social Council (CES). Annual retribuciones fixed by Ley PGE.,1,98741,2026-05-15T04:03:48.844Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-PRES-GOB,Presidente del Gobierno — Prime Minister / Head of Government of Spain. Annual retribuciones fixed by Ley PGE.,1,90010,2026-05-15T04:03:48.844Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-SEC-ESTADO,Secretario de Estado — total annual (sueldo + complemento destino + específico).,1,77893,2026-05-15T04:03:47.079Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-SUBSECRETARIO,Subsecretario — total annual (sueldo + complemento destino + específico).,1,69060,2026-05-15T04:03:47.079Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,ALTO-VP-GOB,Vicepresidente del Gobierno — Deputy Prime Minister. Annual retribuciones fixed by Ley PGE.,1,84601,2026-05-15T04:03:48.844Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CAJ-AUX-JUD,Auxilio Judicial — Judicial auxiliary/support staff. Sueldo base × 14/12 per Ley PGE Art. 28.,1,13441,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CAJ-AYU-LAB,Ayudantes Laboratorio del INTCF — Laboratory assistants at the National Toxicology Institute. Sueldo base × 14/12 per Ley PGE Art. 28.,1,14819,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CAJ-GEST-PROC,Gestión Procesal y Administrativa — Procedural and administrative management officer (judicial administrative corps). Sueldo base × 14/12 per Ley PGE Art. 28.,1,18029,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CAJ-MED-FOR,Médicos Forenses y Facultativos del INTCF — Forensic doctors and specialists at the National Toxicology Institute. Sueldo base × 14/12 per Ley PGE Art. 28.,1,20879,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CAJ-TEC-INTCF,Técnicos Especialistas del INTCF — Specialist technicians at the National Toxicology Institute. Sueldo base × 14/12 per Ley PGE Art. 28.,1,18029,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CAJ-TRAM-PROC,Tramitación Procesal y Administrativa — Procedural and administrative processing officer. Sueldo base × 14/12 per Ley PGE Art. 28.,1,14819,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CGPJ-PRES,"Presidente del Tribunal Supremo y del Consejo General del Poder Judicial — Chief Justice and head of Spain's governing judicial body. Total annual retribuciones fixed by Ley PGE, Art. 22.",1,151186,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CGPJ-SEC,"Secretario General del Consejo General del Poder Judicial — Secretary General of the CGPJ. Total annual retribuciones fixed by Ley PGE, Art. 22.",1,127385,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,CGPJ-VOCAL,"Vocal del Consejo General del Poder Judicial — Member of the governing body of the Spanish judiciary. Total annual retribuciones fixed by Ley PGE, Art. 22.",1,130390,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,FAS-ALF,"Alférez / Alférez de Fragata — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,31728,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-BRIG,"Brigada — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A2) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,30208,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-CABO,"Cabo — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (E) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,18599,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-CABO-1,"Cabo Primero — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (E) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,19956,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-CABO-MAY,"Cabo Mayor — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (E) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,21296,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-CAP,"Capitán / Teniente de Navío — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,35341,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-COL,"Coronel / Capitán de Navío — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,42770,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-COM,"Comandante / Capitán de Corbeta — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,37991,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-GEN-BRIG,"General de Brigada / Contralmirante — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,46041,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-GEN-DIV,"General de División / Vicealmirante — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,50436,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-SGT,"Sargento — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A2) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,26924,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-SGT-1,"Sargento Primero — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A2) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,28296,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-SOB-MAY,"Suboficial Mayor — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A2) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,34357,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-SOLDADO,"Soldado / Marinero — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (E) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,18144,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-SUBT,"Subteniente — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A2) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,32513,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-TCOL,"Teniente Coronel / Capitán de Fragata — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,39756,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FAS-TEN,"Teniente / Alférez de Navío — Fuerzas Armadas / Guardia Civil (officers). Total calculated as sueldo base (A1) + complemento de empleo + componente general del complemento específico. Additional pay components (complemento destino, trienios, dedicación especial) vary by posting. Source: RD 1314/2005 + RD 248/2025.",1,32115,2026-05-15T04:03:52.404Z,https://www.boe.es/buscar/act.php?id=BOE-A-2005-18265
es,Spain,EUR,FIS-ABOG,Abogado Fiscal — Assistant Prosecutor (entry-level). Sueldo base × 14/12 per Ley PGE Art. 28.,1,24358,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,FIS-FISCAL,Fiscal — Prosecutor (standard). Sueldo base × 14/12 per Ley PGE Art. 28.,1,27839,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,FIS-SUP-CA,Fiscal Superior de la Comunidad Autónoma — Regional Chief Prosecutor. Sueldo base × 14/12 per Ley PGE Art. 28.,1,31317,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,JUD-JUEZ,Juez — Entry-level judge (Juzgado). Sueldo base × 14/12 per Ley PGE Art. 28. Total pay depends on complementos.,1,24358,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,JUD-MAG,"Magistrado — Judge of a tribunal (Audiencia Provincial, TSJ, etc.). Sueldo base × 14/12 per Ley PGE Art. 28. Total pay depends on complemento destino, específico, and antigüedad.",1,27839,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,JUD-PRES-AN,Presidente de la Audiencia Nacional (no magistrado del TS) — President of the National Court. Sueldo base × 14/12 per Ley PGE Art. 28.,1,32440,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
es,Spain,EUR,JUD-PRES-SALA-AN,Presidente de la Sala de la Audiencia Nacional — Chamber President of the National Court. Sueldo base × 14/12 per Ley PGE Art. 28.,1,30732,2026-05-15T04:03:50.643Z,https://www.boe.es/eli/es/l/2022/12/23/31/con
