country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
hk,Hong Kong,HKD,CAPS-0,"Craft Apprentice Pay Scale Point 0 — HK$9,465/mo (apprentice craftspeople). Source: CSB Craft Apprentice Pay Scale, effective 1 April 2025.",1,113580,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,CAPS-1,"Craft Apprentice Pay Scale Point 1 — HK$10,035/mo (apprentice craftspeople). Source: CSB Craft Apprentice Pay Scale, effective 1 April 2025.",1,120420,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,CAPS-2,"Craft Apprentice Pay Scale Point 2 — HK$11,155/mo (apprentice craftspeople). Source: CSB Craft Apprentice Pay Scale, effective 1 April 2025.",1,133860,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,CAPS-3,"Craft Apprentice Pay Scale Point 3 — HK$12,335/mo (apprentice craftspeople). Source: CSB Craft Apprentice Pay Scale, effective 1 April 2025.",1,148020,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,CAPS-4,"Craft Apprentice Pay Scale Point 4 — HK$13,460/mo (apprentice craftspeople). Source: CSB Craft Apprentice Pay Scale, effective 1 April 2025.",1,161520,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-1,"Directorate Pay Scale Point 1 (DPS 1 — HK$163,925/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,1967100,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-2,"Directorate Pay Scale Point 2 (DPS 2 — HK$194,825/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,2337900,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-3,"Directorate Pay Scale Point 3 (DPS 3 — HK$226,445/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,2717340,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-4,"Directorate Pay Scale Point 4 (DPS 4 — HK$256,985/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,3083820,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-5,"Directorate Pay Scale Point 5 (DPS 5 — HK$272,900/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,3274800,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-6,"Directorate Pay Scale Point 6 (DPS 6 — HK$287,990/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,3455880,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-7,"Directorate Pay Scale Point 7 (DPS 7 — HK$310,855/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,3730260,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPS-8,"Directorate Pay Scale Point 8 (DPS 8 — HK$320,590/mo base; additional increments for sub-steps exist). Source: CSB Directorate Pay Scale, effective 1 April 2025 (https://www.csb.gov.hk/english/admin/pay/48.html).",1,3847080,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPSL-1,"Directorate (Legal) Pay Scale Point 1 — HK$163,925/mo base (DoJ senior legal officers). Source: CSB Directorate (Legal) Pay Scale, effective 1 April 2025.",1,1967100,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPSL-2,"Directorate (Legal) Pay Scale Point 2 — HK$194,825/mo base (DoJ senior legal officers). Source: CSB Directorate (Legal) Pay Scale, effective 1 April 2025.",1,2337900,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPSL-3,"Directorate (Legal) Pay Scale Point 3 — HK$226,445/mo base (DoJ senior legal officers). Source: CSB Directorate (Legal) Pay Scale, effective 1 April 2025.",1,2717340,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPSL-4,"Directorate (Legal) Pay Scale Point 4 — HK$256,985/mo base (DoJ senior legal officers). Source: CSB Directorate (Legal) Pay Scale, effective 1 April 2025.",1,3083820,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPSL-5,"Directorate (Legal) Pay Scale Point 5 — HK$272,900/mo base (DoJ senior legal officers). Source: CSB Directorate (Legal) Pay Scale, effective 1 April 2025.",1,3274800,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DPSL-6,"Directorate (Legal) Pay Scale Point 6 — HK$287,990/mo base (DoJ senior legal officers). Source: CSB Directorate (Legal) Pay Scale, effective 1 April 2025.",1,3455880,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSC-1,"Disciplined Services (Commander) Pay Scale Point 1 — HK$168,815/mo base (most senior uniformed ranks). Source: CSB Disciplined Services (Commander) Pay Scale, effective 1 April 2025.",1,2025780,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSC-2,"Disciplined Services (Commander) Pay Scale Point 2 — HK$194,825/mo base (most senior uniformed ranks). Source: CSB Disciplined Services (Commander) Pay Scale, effective 1 April 2025.",1,2337900,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSC-3,"Disciplined Services (Commander) Pay Scale Point 3 — HK$226,445/mo base (most senior uniformed ranks). Source: CSB Disciplined Services (Commander) Pay Scale, effective 1 April 2025.",1,2717340,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSC-3A,"Disciplined Services (Commander) Pay Scale Point 3A — HK$256,985/mo base (most senior uniformed ranks). Source: CSB Disciplined Services (Commander) Pay Scale, effective 1 April 2025.",1,3083820,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSC-4,"Disciplined Services (Commander) Pay Scale Point 4 — HK$287,990/mo base (most senior uniformed ranks). Source: CSB Disciplined Services (Commander) Pay Scale, effective 1 April 2025.",1,3455880,2026-05-15T04:02:35.515Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",1,397500,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",2,415020,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",3,436860,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",4,458640,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",5,485940,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",6,517620,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",7,548580,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
hk,Hong Kong,HKD,DSO,"Disciplined Services (Officer) Pay Scale — Officer-grade pay for disciplined services (Fire, Immigration, Customs, Correctional). Points 1-51.",8,580020,2026-05-15T04:02:33.774Z,https://www.csb.gov.hk/english/admin/pay/952.html
