country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
in,India,INR,GOV-CABINET-MIN,"Cabinet Minister — ₹50,000 ministerial + ₹1,00,000 MP salary + ₹10,000 sumptuary. Source: Salaries and Allowances of Ministers Act 1952 + MP Act. 2026 rate.",1,1920000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-DEPUTY-MIN,"Deputy Minister — ₹30,000 ministerial + ₹1,00,000 MP salary + ₹10,000 sumptuary. Source: Salaries and Allowances of Ministers Act 1952. 2026 rate.",1,1680000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-DY-SPEAKER,"Deputy Speaker / Deputy Chairman of Rajya Sabha (pay parity with Governor). Source: Salary, Allowances and Pension of Officers of Parliament Act 1953. 2026 rate.",1,4200000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-GOVERNOR,"Governor of a State (28 states, 3 UTs). Source: Governors (Emoluments, Allowances, Privileges) Act 1982, amended 2018. 2026 rate.",1,4200000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-LS-SPEAKER,"Speaker of Lok Sabha (pay parity with Vice President per convention). Source: Salary, Allowances and Pension of Officers of Parliament Act 1953, amended 2018. 2026 rate.",1,4800000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-MP,"Member of Parliament (Lok Sabha / Rajya Sabha) — base salary only; MPs also receive ₹70,000 constituency allowance + ₹60,000 office allowance monthly. Source: Salary, Allowances and Pension of Members of Parliament Act 1954, amended 2018. 2026 rate.",1,1200000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-PM,"Prime Minister of India — ₹50,000 PM salary + ₹1,00,000 MP salary + ₹10,000 sumptuary. Source: Salaries and Allowances of Ministers Act 1952 + Salary/Allowances of MPs Act 1954. 2026 rate.",1,1920000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-PRESIDENT,"President of India. Source: President's Emoluments and Pension Act 1951, amended by Act 9 of 2018. 2026 rate.",1,6000000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-STATE-MIN,"Minister of State (MoS) — ₹40,000 ministerial + ₹1,00,000 MP salary + ₹10,000 sumptuary. Source: Salaries and Allowances of Ministers Act 1952. 2026 rate.",1,1800000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,GOV-VICE-PRES,"Vice President of India / Chairman of Rajya Sabha. Source: Vice President's Pension Act 1997, amended 2018. 2026 rate.",1,4800000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,JUD-CJI,Chief Justice of India (CJI). Source: Supreme Court Judges (Salaries and Conditions of Service) Amendment Act 2018. 2026 rate.,1,3360000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,JUD-DISTRICT-ENTRY,Civil Judge (Junior Division) — judicial service entry (post-exam). Source: 2nd National Judicial Pay Commission. 2026 rate.,1,934080,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,JUD-DISTRICT-SR,District Judge (Super Time Scale / senior) — entry-level cadre post-Shetty Commission (2022). Source: 2nd National Judicial Pay Commission (Justice Shetty Commission); state-implemented. 2026 rate.,1,2389200,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,JUD-HC-CJ,Chief Justice of a High Court. Source: High Court Judges (Salaries and Conditions of Service) Amendment Act 2018. 2026 rate.,1,3000000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,JUD-HC-JUDGE,Judge of a High Court. Source: High Court Judges (Salaries and Conditions of Service) Amendment Act 2018. 2026 rate.,1,2700000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,JUD-SC-JUDGE,Judge of the Supreme Court of India. Source: Supreme Court Judges (Salaries and Conditions of Service) Amendment Act 2018. 2026 rate.,1,3000000,2026-05-15T04:04:15.708Z,https://egazette.nic.in/
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",1,216000,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",2,222000,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",3,229200,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",4,236400,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",5,243600,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",6,250800,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",7,258000,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",8,265200,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",9,273600,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",10,282000,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",11,290400,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",12,298800,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",13,307200,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",14,316800,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",15,326400,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
in,India,INR,L1,"Pay Level 1 — entry-level Group C positions (Peon, Chowkidar, Safaiwala). Pay Band 5200-20200 / GP 1800.",16,336000,2026-05-15T04:04:13.857Z,https://clri.org/Admin/RTI/7th%20Central%20Pay%20Commission.pdf
