country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",1,8832000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",2,9528000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",3,10224000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",4,11196000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",5,12072000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",6,12936000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",7,13836000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DES1,"指定職俸給表 — Designated Senior Executives. Cabinet-level posts: Administrative Vice-Ministers, Agency Heads, senior officials. 8 levels of 号俸.",8,14688000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,DIET-DEPUTY,衆議院副議長 / 参議院副議長 (Deputy Speaker).,1,19008000,2026-05-15T04:02:56.699Z,https://laws.e-gov.go.jp/
jp,Japan,JPY,DIET-MEMBER,衆議院議員 / 参議院議員 (Member of Parliament).,1,15528000,2026-05-15T04:02:56.699Z,https://laws.e-gov.go.jp/
jp,Japan,JPY,DIET-SPEAKER,衆議院議長 / 参議院議長 (Speaker of the House of Representatives or House of Councillors).,1,26040000,2026-05-15T04:02:56.699Z,https://laws.e-gov.go.jp/
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,1,3308400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,2,3334800,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,3,3360000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,4,3382800,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,5,3404400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,6,3422400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,7,3440400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,8,3458400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,9,3480000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,10,3502800,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,11,3524400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,12,3547200,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,13,3571200,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,14,3595200,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,15,3619200,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,16,3643200,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,17,3666000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,18,3696000,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,19,3728400,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,20,3759600,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,21,3790800,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
jp,Japan,JPY,ED1-1,教育職（一） 1級 — Education I. National university faculty (legacy — mostly transitioned to corporate status but tables remain authoritative for related entities).,22,3819600,2026-05-15T04:02:54.166Z,https://www.jinji.go.jp/content/000013372.xlsx
