country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,1,43923600,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,2,49492800,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,3,53701200,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,4,57918000,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,5,62284800,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,6,66618000,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,7,71114400,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,8,75901200,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,9,81452400,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,10,86113200,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,11,88900800,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,12,91272000,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,13,96189600,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,14,102013200,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,15,108508800,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,CNL-1,헌법연구관 (연구관) — Constitutional Court researchers — 헌법연구관 (researcher) / 헌법연구관보 (researcher-aspirant).,16,115035600,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,1,55873200,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,2,57831600,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,3,59839200,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,4,61892400,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,5,63996000,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,6,66124800,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
kr,South Korea,KRW,GEN-1,일반직 (1급) — General civil service (일반직) — grades 1-9 from Vice-Minister to entry-level clerk.,7,68284800,2026-04-20T12:58:41.729Z,https://www.mpm.go.kr/mpm/info/resultPay/bizSalary/
