country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
nl,Netherlands,EUR,GOV-EK-CHAIR,"Voorzitter Eerste Kamer (President of the Senate) — part-time role, additional allowance. Source: Wet vergoedingen leden Eerste Kamer + Reglement Eerste Kamer.",1,90000,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,GOV-EK-MEMBER,"Lid Eerste Kamer (Senator) — part-time, 75 seats (Senate meets Tuesdays only). Source: Wet vergoedingen leden Eerste Kamer, effective 2024-07-01.",1,34900,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,GOV-MIN-PRES,Minister-President (Prime Minister of the Netherlands). Source: Wet rechtspositie ministers en staatssecretarissen + Bezoldigingsbesluit 2024-07-01 (incl. 8% vakantiegeld + 8.33% eindejaarsuitkering).,1,183168,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,GOV-MINISTER,"Minister (Cabinet member). Source: Wet rechtspositie ministers en staatssecretarissen, effective 2024-07-01.",1,167596,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,GOV-STAATSSEC,"Staatssecretaris (Secretary of State / Junior Minister). Source: Wet rechtspositie ministers en staatssecretarissen, effective 2024-07-01.",1,157980,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,GOV-TK-MEMBER,"Lid Tweede Kamer (Member of the House of Representatives) — 150 seats. Source: Wet schadeloosstelling leden Tweede Kamer, effective 2024-07-01 (schadeloosstelling + ambtstoelage).",1,155720,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,GOV-TK-SPEAKER,Voorzitter Tweede Kamer (Speaker of the House of Representatives) — pay parity with Minister. Source: Reglement van Orde Tweede Kamer + pay parity with Minister.,1,167596,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-HOF-PRESIDENT,President van een Gerechtshof (President of a Court of Appeal — 4 courts). Source: Wet rechtspositie rechterlijke ambtenaren.,1,185700,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-HOF-RAADSHEER,Raadsheer (Judge) in een Gerechtshof. Source: Wet rechtspositie rechterlijke ambtenaren.,1,160400,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-HR-JUSTICE,Raadsheer in de Hoge Raad (Supreme Court Justice). Source: Wet rechtspositie rechterlijke ambtenaren.,1,187100,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-HR-PRESIDENT,"President van de Hoge Raad der Nederlanden (President of the Supreme Court). Source: Wet rechtspositie rechterlijke ambtenaren + Bezoldigingsbesluit Rechterlijke Ambtenaren, 2024-07-01.",1,208700,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-HR-VICE,Vice-president van de Hoge Raad. Source: Wet rechtspositie rechterlijke ambtenaren.,1,194800,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-RB-PRESIDENT,President van een Rechtbank (President of a District Court — 11 courts). Source: Wet rechtspositie rechterlijke ambtenaren.,1,170900,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
nl,Netherlands,EUR,JUD-RB-RECHTER,"Rechter in een Rechtbank (District Court Judge, entry-career). Source: Wet rechtspositie rechterlijke ambtenaren (schaal 10 entry).",1,126400,2026-04-24T01:10:17.282Z,https://wetten.overheid.nl/
