country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
pt,Portugal,EUR,DIR-INT-1,Cargos de Direção Intermédia de 1.º Grau (Diretor de serviços) — índice 80.,1,46863,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,DIR-INT-2,Cargos de Direção Intermédia de 2.º Grau (Chefe de divisão) — índice 70.,1,41005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,DIR-SUP-1,"Cargos de Direção Superior de 1.º Grau (Diretor-Geral, Secretário-Geral, Inspetor-Geral, Presidente) — índice 100, valor padrão.",1,58578,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,DIR-SUP-2,"Cargos de Direção Superior de 2.º Grau (Subdiretor-Geral, Subinspetor-Geral, Adjunto do Secretário-Geral, Vogal de direção, Vice-Presidente) — índice 85.",1,49792,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-CONSELHEIRO,Juiz Conselheiro (member of STJ) — índice 260.,1,104005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-DESEMB,"Juiz Desembargador — appellate judge (Tribunal da Relação), índice 220.",1,88004,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-DESEMB-5A,"Juiz Desembargador com 5 anos — appellate judge with 5 years of service, índice 240.",1,96005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-DIR-JUIZOS,"Juiz de Direito dos Juízos (c/18 anos) — trial judge, top escalão, índice 200.",1,80004,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-DIR-LOCAIS,"Juiz de Direito dos Juízos locais (c/11 anos) — local-court judge, top escalão, índice 175.",1,70003,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-ESTAGIARIO,"Juiz Estagiário — judicial trainee, índice 100.",1,40002,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,JUD-PRES-STJ,"Presidente do Supremo Tribunal de Justiça — top of Magistratura Judicial, índice 260.",1,104005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-ESTAGIARIO,"Procurador da República Estagiário — prosecutor trainee, índice 100.",1,40002,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-PGR,"Procurador-Geral da República — head of the Portuguese public prosecution, índice 260.",1,104005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-PGRADJ,"Procurador-Geral-Adjunto — deputy prosecutor general, índice 220.",1,88004,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-PGRADJ-5A,"Procurador-Geral-Adjunto com 5 anos — deputy prosecutor general with 5 years, índice 240.",1,96005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-PR,"Procurador da República (c/18 anos) — public prosecutor, top escalão, índice 200.",1,80004,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-PR-DIAP,"Procurador da República no DIAP / juízos locais (c/11 anos) — prosecutor at DIAP or local court, top escalão, índice 175.",1,70003,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
pt,Portugal,EUR,MP-VPGR,"Vice-Procurador-Geral da República — deputy head of the public prosecution, índice 260.",1,104005,2026-05-15T04:03:15.624Z,https://www.dgaep.gov.pt/upload//catalogo/SRAP_2026.pdf
