country_code,country_name,currency,grade_code,grade_description,step,annual,verified_at,source_url
uk,United Kingdom,GBP,JUD-GRP1,Judicial Salary Group 1 — Lady Chief Justice of England and Wales. Single-holder post at the head of the Judiciary of England and Wales.,1,325010,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP1_1,"Judicial Salary Group 1.1 — President of the UK Supreme Court, Lord President of the Court of Session (Scotland), Lady Chief Justice of Northern Ireland, Master of the Rolls.",1,290213,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP2,Judicial Salary Group 2 — Justices of the Supreme Court; Division Presidents (Family/King's Bench); Chancellor of the High Court; Senior President of Tribunals; Lord Justice Clerk (Scotland).,1,280311,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP3,Judicial Salary Group 3 — Lords/Lady Justices of Appeal (England & Wales and Northern Ireland); Inner House Judges of the Court of Session (Scotland).,1,266556,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP4,Judicial Salary Group 4 — Puisne Judges of the High Court (England & Wales and Northern Ireland); Outer House Judges of the Court of Session (Scotland); Vice-Chancellor of the County Palatine of Lancaster.,1,234096,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP5,Judicial Salary Group 5 — Senior Circuit Judges; Chamber Presidents of First-tier Tribunals; Judge Advocate General; President of Employment Tribunals; Sheriffs Principal (Scotland); Senior District Judge (Chief Magistrate); Recorder of Liverpool/Manchester/Belfast.,1,187743,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP5_1,Judicial Salary Group 5.1 — Senior Masters & Registrars (England & Wales); Upper Tribunal Judges; Social Security Commissioner (Northern Ireland); Deputy Chamber Presidents.,1,180810,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP5_2,Judicial Salary Group 5.2 — Circuit Judges; Sheriffs (Scotland); Senior Judge of the Court of Protection; Regional Employment Judges; Senior Court Masters and Cost Judges; County Court Judges (Northern Ireland).,1,173854,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP6,Judicial Salary Group 6 — Designated First-tier Tribunal Judges; Vice-Judge Advocate General; Regional Judges (Property Chamber); Presiding District Judge (Magistrates' Courts) Northern Ireland.,1,163675,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
uk,United Kingdom,GBP,JUD-GRP7,"Judicial Salary Group 7 — District Judges (England & Wales, Northern Ireland); Employment Judges; Coroners (Northern Ireland); Assistant Judge Advocate General; First-tier Tribunal Judges; Summary Sheriffs (Scotland).",1,139469,2026-05-15T04:04:02.829Z,https://www.gov.uk/government/publications/judicial-salaries-and-fees-2025-to-2026
